"[5.297083945888517, 16.467732631038615, -77.08646077345912]","[0.25699189182887494, -45.50437025356155, -72.50785589706092]","[-4.480084756731017, -99.98020589793174, -69.637411982804]"
"[5.891636931620326, 17.77609625789828, -74.81324620856162]","[0.4787755939456133, -43.998330442411586, -68.45322977344435]","[-4.189433763241368, -98.00078693148083, -64.91217689046252]"
"[6.19131558945989, 19.27736395919279, -72.60209241877686]","[0.4498509653388112, -42.457598763225576, -64.61503240151754]","[-3.8890496362162565, -95.99078694377113, -60.138132346641505]"
"[5.458269033344493, 20.416212737632712, -70.0036644844721]","[1.1603697134281816, -40.22518421133164, -61.0519424435115]","[-3.354476194570694, -94.31296001206604, -55.54129753778119]"
"[5.463122387066818, 22.127671980461344, -67.8326419492422]","[1.3427710478812287, -37.98443377569498, -58.02669661970989]","[-3.4878106196431986, -92.59769790415751, -51.59063701432993]"
"[6.440987464289421, 23.97966645673572, -66.39171048996022]","[1.2402722794290924, -36.66344609171263, -54.543001044225164]","[-3.861572360831971, -91.63962268227755, -46.929594256076335]"
"[5.352381567010028, 25.172150328040686, -64.09461384084165]","[1.5133461024478692, -34.126384917537024, -51.04859752314846]","[-3.2805627180817822, -88.72900162874737, -42.6426634391467]"
"[6.390980681279373, 27.180701252984143, -62.39248235092835]","[1.9628640892072298, -31.874483365595268, -47.73186683847133]","[-3.051335788776484, -86.9368628699597, -38.2182281690838]"
"[6.218540125828241, 28.877670688325765, -60.42389866896877]","[0.9799238019676579, -30.791537839692822, -43.54535834919338]","[-2.8127148649372202, -84.0054701767638, -34.260543563973485]"
"[6.907928261814419, 30.839868888554765, -59.143048610254624]","[1.6133769724600313, -27.931389142623956, -41.18616563511357]","[-3.49711825223838, -82.8868975728953, -29.71894741892899]"
"[6.620818161807762, 32.70768886269687, -57.077312618037794]","[2.065952904707558, -25.664168532505713, -37.846872156663125]","[-2.906934773023707, -79.93031934483571, -25.364328220679425]"
"[6.916217307208143, 34.991136011177275, -55.799013108500226]","[2.6974667238537364, -22.850091200154523, -35.54800009603744]","[-2.0939816234840976, -76.27774482081227, -21.815868228224787]"
"[7.513018897223134, 37.04507864700733, -54.498194727817335]","[1.9904324568964569, -20.829952717763206, -31.80722149771701]","[-2.19303764482423, -74.38053678106769, -17.59934670217767]"
"[8.006529284914421, 39.24279940501871, -53.12267105529078]","[2.7118797136957937, -17.76757587296649, -29.100721052021385]","[-1.161095480102091, -70.08953375631721, -14.933828181310503]"
"[8.343775532907912, 41.40072651501725, -51.95977300389843]","[1.9149120090853557, -15.995736903020685, -25.767570838770908]","[-0.9224745562628272, -67.15814106312133, -10.976143576200172]"
"[7.620473526327203, 43.3772399367688, -50.20941608296711]","[2.3710022110829954, -12.961827189175423, -23.37264284254225]","[-1.5985535193970435, -64.85227475120412, -6.841610715869535]"
"[7.870624457221538, 45.649875795859614, -48.9917845529628]","[2.830611608089839, -9.962549504622842, -21.017890023496435]","[-1.0199367558028314, -60.919389572473904, -3.1817295501278267]"
"[7.375955171355969, 47.24820189198297, -47.48264188437924]","[2.3984665091107473, -7.151191605398637, -17.908637911499966]","[-0.7813158319635676, -57.987996879278015, 0.7759550549824894]"
"[7.212568805166612, 48.31112624840199, -46.307089031076465]","[3.3271032604323523, -3.784439338511895, -16.52010125997616]","[-2.025169915847073, -56.21708707794188, 5.562203800536352]"
"[7.0991343737428565, 47.429295512880984, -47.54090302019935]","[2.8574465516939256, -6.712484555556301, -18.795136997871708]","[-0.9006370436117805, -57.37880492144856, -0.49528673544752166]"
